City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,nabire,-3.3667,135.4833,74.77,93,75,4.14,ID,1689969362
99,coronel suarez,-37.4547,-61.9334,58.68,68,100,4.38,AR,1689969362
100,gebeit,21.0667,36.3167,88.95,20,70,4.45,SD,1689969363
101,shimoda,34.6667,138.95,72.1,88,3,9.8,JP,1689969363
102,margaret river,-33.95,115.0667,52.61,76,1,2.46,AU,1689969363
103,albany,42.6001,-73.9662,80.56,75,7,6.53,US,1689969364
104,pangody,65.85,74.4859,64.8,77,77,8.01,RU,1689969364
105,luderitz,-26.6481,15.1594,57.22,57,36,5.95,NA,1689969364
106,egilsstadir,65.2653,-14.3948,51.71,82,75,9.22,IS,1689969365
107,bubaque,11.2833,-15.8333,82.08,84,98,11.99,GW,1689969365
108,port douglas,-16.4833,145.4667,68.74,80,1,4.16,AU,1689969365
109,deschutes river woods,43.9915,-121.3584,91.31,15,0,3.0,US,1689969366
110,gewane,10.1664,40.6453,81.97,55,100,6.73,ET,1689969366
111,taoudenni,22.6783,-3.9836,107.13,9,19,9.66,ML,1689969366
112,bogale,16.2833,95.4,78.58,91,100,4.59,MM,1689969367
113,uturoa,-16.7333,-151.4333,76.12,65,36,15.68,PF,1689969367
114,grand rapids,42.9634,-85.6681,82.45,54,75,5.75,US,1689969367
115,tambura,5.6,27.4667,70.79,84,96,3.06,SS,1689969368
116,kangding,30.0513,101.9603,54.66,77,98,5.1,CN,1689969368
117,chonchi,-42.6128,-73.8092,49.21,93,100,6.64,CL,1689969368
118,papatowai,-46.5619,169.4708,41.32,76,5,13.0,NZ,1689969369
119,bredasdorp,-34.5322,20.0403,46.18,67,93,3.62,ZA,1689969369
120,ranchettes,41.2186,-104.7903,76.51,39,0,6.91,US,1689969369
121,prainha,-1.8,-53.48,88.09,47,63,5.21,BR,1689969370
122,neryungri,56.6709,124.6491,51.67,92,67,2.15,RU,1689969370
123,lamu,-2.2717,40.902,79.02,84,7,18.43,KE,1689969371
124,weno,7.4515,151.8468,78.75,100,100,0.0,FM,1689969371
125,yaring,6.8662,101.3689,77.86,87,99,5.99,TH,1689969372
126,la passe,45.5549,-0.8967,68.23,76,0,9.78,FR,1689969372
127,dunedin,-45.8742,170.5036,43.81,76,23,5.99,NZ,1689969372
128,kasungu,-13.0333,33.4833,61.36,68,2,5.28,MW,1689969373
129,port mathurin,-19.6833,63.4167,73.53,77,41,20.45,MU,1689969373
130,smithers,54.7804,-127.1743,62.92,82,100,2.3,CA,1689969373
131,afaahiti,-17.75,-149.2833,76.87,60,41,11.01,PF,1689969374
132,lebu,-37.6167,-73.65,52.9,87,100,11.23,CL,1689969375
133,new richmond,45.123,-92.5366,83.75,58,40,5.75,US,1689969375
134,jacmel,18.2342,-72.5347,98.44,70,81,9.73,HT,1689969375
135,isafjordur,66.0755,-23.124,52.23,66,93,3.98,IS,1689969376
136,sabang,5.8933,95.3214,83.46,74,100,20.09,ID,1689969376
137,newman,37.3138,-121.0208,97.14,8,0,7.25,US,1689969376
138,lianhe,47.1333,129.2667,65.26,77,100,1.68,CN,1689969377
139,hawera,-39.5917,174.2833,48.24,75,100,19.62,NZ,1689969377
140,tefe,-3.3542,-64.7114,91.51,52,40,3.44,BR,1689969377
141,amga,60.8953,131.9608,54.19,96,62,2.89,RU,1689969378
142,puerto ayora,-0.7393,-90.3518,82.36,86,73,4.0,EC,1689969378
143,ilulissat,69.2167,-51.1,42.82,93,75,0.0,GL,1689969379
144,jincheng,35.5022,112.8328,69.37,86,0,2.51,CN,1689969384
